ds,y,type
2014-11-11,51.0,actual
2014-11-12,41.0,actual
2014-11-13,1.0,actual
2014-11-14,0.0,actual
2014-11-15,1.0,actual
2014-11-16,0.0,actual
2014-11-17,0.0,actual
2014-11-18,7.0,actual
2014-11-19,1.0,actual
2014-11-20,4.0,actual
2014-11-21,1.0,actual
2014-11-22,1.0,actual
2014-11-23,2.0,actual
2014-11-24,0.0,actual
2014-11-25,0.0,actual
2014-11-26,0.0,actual
2014-11-27,0.0,actual
2014-11-28,0.0,actual
2014-11-29,0.0,actual
2014-11-30,0.0,actual
2014-12-01,0.0,actual
2014-12-02,0.0,actual
2014-12-03,0.0,actual
2014-12-04,0.0,actual
2014-12-05,0.0,actual
2014-12-06,0.0,actual
2014-12-07,0.0,actual
2014-12-08,0.0,actual
2014-12-09,0.0,actual
2014-12-10,0.0,actual
2014-12-11,0.0,actual
2014-12-12,0.0,actual
2014-12-13,0.0,actual
2014-12-14,0.0,actual
2014-12-15,0.0,actual
2014-12-16,49.0,actual
2014-12-17,157.0,actual
2014-12-18,193.0,actual
2014-12-19,94.0,actual
2014-12-20,135.0,actual
2014-12-21,118.0,actual
2014-12-22,18.0,actual
2014-12-23,0.0,actual
2014-12-24,14.0,actual
2014-12-25,0.0,actual
2014-12-26,20.0,actual
2014-12-27,42.0,actual
2014-12-28,45.0,actual
2014-12-29,55.0,actual
2014-12-30,59.0,actual
2014-12-31,11.0,actual
2015-01-01,0.0,actual
2015-01-02,77.0,actual
2015-01-03,60.0,actual
2015-01-04,1.0,actual
2015-01-05,69.0,actual
2015-01-06,98.0,actual
2015-01-07,119.0,actual
2015-01-08,93.0,actual
2015-01-09,92.0,actual
2015-01-10,112.0,actual
2015-01-11,96.0,actual
2015-01-12,93.0,actual
2015-01-13,65.0,actual
2015-01-14,100.0,actual
2015-01-15,51.0,actual
2015-01-16,55.0,actual
2015-01-17,71.0,actual
2015-01-18,57.0,actual
2015-01-19,34.0,actual
2015-01-20,47.0,actual
2015-01-21,88.0,actual
2015-01-22,51.0,actual
2015-01-23,49.0,actual
2015-01-24,110.0,actual
2015-01-25,30.0,actual
2015-01-26,59.0,actual
2015-01-27,97.0,actual
2015-01-28,155.0,actual
2015-01-29,125.0,actual
2015-01-30,100.0,actual
2015-01-31,211.0,actual
2015-02-01,88.0,actual
2015-02-02,114.0,actual
2015-02-03,89.0,actual
2015-02-04,118.0,actual
2015-02-05,84.0,actual
2015-02-06,125.0,actual
2015-02-07,184.0,actual
2015-02-08,107.0,actual
2015-02-09,70.0,actual
2015-02-10,66.0,actual
2015-02-11,89.0,actual
2015-02-12,50.0,actual
2015-02-13,20.0,actual
2015-02-14,77.0,actual
2015-02-15,33.0,actual
2015-02-16,47.0,actual
2015-02-17,35.0,actual
2015-02-18,60.0,actual
2015-02-19,31.0,actual
2015-02-20,35.0,actual
2015-02-21,80.0,actual
2015-02-22,42.0,actual
2015-02-23,23.0,actual
2015-02-24,19.0,actual
2015-02-25,18.0,actual
2015-02-26,37.0,actual
2015-02-27,50.0,actual
2015-02-28,127.0,actual
2015-03-01,123.0,actual
2015-03-02,44.0,actual
2015-03-03,22.0,actual
2015-03-04,31.0,actual
2015-03-05,22.0,actual
2015-03-06,40.0,actual
2015-03-07,62.0,actual
2015-03-08,59.0,actual
2015-03-09,28.0,actual
2015-03-10,68.0,actual
2015-03-11,73.0,actual
2015-03-12,87.0,actual
2015-03-13,175.0,actual
2015-03-14,300.0,actual
2015-03-15,196.0,actual
2015-03-16,123.0,actual
2015-03-17,168.0,actual
2015-03-18,209.0,actual
2015-03-19,188.0,actual
2015-03-20,219.0,actual
2015-03-21,381.0,actual
2015-03-22,158.0,actual
2015-03-23,12.0,actual
2015-03-24,8.0,actual
2015-03-25,10.0,actual
2015-03-26,88.0,actual
2015-03-27,196.0,actual
2015-03-28,206.0,actual
2015-03-29,83.0,actual
2015-03-30,0.0,actual
2015-03-31,0.0,actual
2015-04-01,27.0,actual
2015-04-02,27.0,actual
2015-04-03,54.0,actual
2015-04-04,136.0,actual
2015-04-05,55.0,actual
2015-04-06,22.0,actual
2015-04-07,30.0,actual
2015-04-08,30.0,actual
2015-04-09,30.0,actual
2015-04-10,44.0,actual
2015-04-11,39.0,actual
2015-04-12,57.0,actual
2015-04-13,30.0,actual
2015-04-14,47.0,actual
2015-04-15,74.0,actual
2015-04-16,114.0,actual
2015-04-17,40.0,actual
2015-04-18,62.0,actual
2015-04-19,62.0,actual
2015-04-20,135.0,actual
2015-04-21,175.0,actual
2015-04-22,82.0,actual
2015-04-23,62.0,actual
2015-04-24,88.0,actual
2015-04-25,152.0,actual
2015-04-26,64.0,actual
2015-04-27,67.0,actual
2015-04-28,73.0,actual
2015-04-29,130.0,actual
2015-04-30,115.0,actual
2015-05-01,260.0,actual
2015-05-02,228.0,actual
2015-05-03,120.0,actual
2015-05-04,31.0,actual
2015-05-05,0.0,actual
2015-05-06,3.0,actual
2015-05-07,0.0,actual
2015-05-08,0.0,actual
2015-05-09,0.0,actual
2015-05-10,0.0,actual
2015-05-11,1.0,actual
2015-05-12,0.0,actual
2015-05-13,1.0,actual
2015-05-14,1.0,actual
2015-05-15,1.0,actual
2015-05-16,0.0,actual
2015-05-17,0.0,actual
2015-05-18,0.0,actual
2015-05-19,1.0,actual
2015-05-20,0.0,actual
2015-05-21,0.0,actual
2015-05-22,0.0,actual
2015-05-23,0.0,actual
2015-05-24,0.0,actual
2015-05-25,0.0,actual
2015-05-26,0.0,actual
2015-05-27,0.0,actual
2015-05-28,0.0,actual
2015-05-29,0.0,actual
2015-05-30,0.0,actual
2015-05-31,0.0,actual
2015-06-01,0.0,actual
2015-06-02,0.0,actual
2015-06-03,0.0,actual
2015-06-04,0.0,actual
2015-06-05,168.0,actual
2015-06-06,201.0,actual
2015-06-07,147.0,actual
2015-06-08,119.0,actual
2015-06-09,122.0,actual
2015-06-10,149.0,actual
2015-06-11,111.0,actual
2015-06-12,95.0,actual
2015-06-13,237.0,actual
2015-06-14,110.0,actual
2015-06-15,104.0,actual
2015-06-16,61.0,actual
2015-06-17,40.0,actual
2015-06-18,114.0,actual
2015-06-19,129.0,actual
2015-06-20,111.0,actual
2015-06-21,146.0,actual
2015-06-22,57.0,actual
2015-06-23,19.0,actual
2015-06-24,27.0,actual
2015-06-25,62.0,actual
2015-06-26,95.0,actual
2015-06-27,183.0,actual
2015-06-28,94.0,actual
2015-06-29,116.0,actual
2015-06-30,63.0,actual
2015-07-01,147.0,actual
2015-07-02,101.0,actual
2015-07-03,248.0,actual
2015-07-04,142.0,actual
2015-07-05,186.0,actual
2015-07-06,109.0,actual
2015-07-07,228.0,actual
2015-07-08,66.0,actual
2015-07-09,182.0,actual
2015-07-10,1.0,actual
2015-07-11,64.0,actual
2015-07-12,118.0,actual
2015-07-13,55.0,actual
2015-07-14,43.0,actual
2015-07-15,95.0,actual
2015-07-16,54.0,actual
2015-07-17,85.0,actual
2015-07-18,92.0,actual
2015-07-19,61.0,actual
2015-07-20,111.0,actual
2015-07-21,7.0,actual
2015-07-22,4.0,actual
2015-07-23,66.0,actual
2015-07-24,95.0,actual
2015-07-25,190.0,actual
2015-07-26,60.0,actual
2015-07-27,42.0,actual
2015-07-28,79.0,actual
2015-07-29,109.0,actual
2015-07-30,165.0,actual
2015-07-31,99.0,actual
2015-08-01,233.0,actual
2015-08-02,16.0,actual
2015-08-03,2.0,actual
2015-08-04,5.0,actual
2015-08-05,22.0,actual
2015-08-06,8.0,actual
2015-08-07,65.0,actual
2015-08-08,157.0,actual
2015-08-09,65.0,actual
2015-08-10,90.0,actual
2015-08-11,3.0,actual
2015-08-12,5.0,actual
2015-08-13,1.0,actual
2015-08-14,65.0,actual
2015-08-15,235.0,actual
2015-08-16,76.0,actual
2015-08-17,2.0,actual
2015-08-18,101.0,actual
2015-08-19,162.0,actual
2015-08-20,25.0,actual
2015-08-21,4.0,actual
2015-08-22,1.0,actual
2015-08-23,75.0,actual
2015-08-24,32.0,actual
2015-08-25,76.0,actual
2015-08-26,6.0,actual
2015-08-27,65.0,actual
2015-08-28,145.0,actual
2015-08-29,78.0,actual
2015-08-30,6.0,actual
2015-08-31,0.0,actual
2015-09-01,126.0,actual
2015-09-02,240.0,actual
2015-09-03,67.0,actual
2015-09-04,140.0,actual
2015-09-05,208.0,actual
2015-09-06,76.0,actual
2015-09-07,240.0,actual
2015-09-08,52.0,actual
2015-09-09,111.0,actual
2015-09-10,176.0,actual
2015-09-11,84.0,actual
2015-09-12,171.0,actual
2015-09-13,102.0,actual
2015-09-14,69.0,actual
2015-09-15,77.0,actual
2015-09-16,174.0,actual
2015-09-17,69.0,actual
2015-09-18,52.0,actual
2015-09-19,42.0,actual
2015-09-20,1.0,actual
2015-09-21,62.0,actual
2015-09-22,88.0,actual
2015-09-23,60.0,actual
2015-09-24,2.0,actual
2015-09-25,3.0,actual
2015-09-26,9.0,actual
2015-09-27,142.0,actual
2015-09-28,90.0,actual
2015-09-29,20.0,actual
2015-09-30,37.0,actual
2015-10-01,86.0,actual
2015-10-02,166.0,actual
2015-10-03,391.0,actual
2015-10-04,56.0,actual
2015-10-05,64.0,actual
2015-10-06,35.0,actual
2015-10-07,40.0,actual
2015-10-08,21.0,actual
2015-10-09,42.0,actual
2015-10-10,95.0,actual
2015-10-11,85.0,actual
2015-10-12,140.0,actual
2015-10-13,80.0,actual
2015-10-14,91.0,actual
2015-10-15,65.0,actual
2015-10-16,166.0,actual
2015-10-17,137.0,actual
2015-10-18,174.0,actual
2015-10-19,120.0,actual
2015-10-20,93.0,actual
2015-10-21,100.0,actual
2015-10-22,137.0,actual
2015-10-23,241.0,actual
2015-10-24,113.0,actual
2015-10-25,257.0,actual
2015-10-26,166.0,actual
2015-10-27,162.0,actual
2015-10-28,247.0,actual
2015-10-29,70.0,actual
2015-10-30,139.0,actual
2015-10-31,195.0,actual
2015-11-01,206.0,actual
2015-11-02,268.0,actual
2015-11-03,59.0,actual
2015-11-04,99.0,actual
2015-11-05,63.0,actual
2015-11-06,77.0,actual
2015-11-07,232.0,actual
2015-11-08,157.0,actual
2015-11-09,107.0,actual
2015-11-10,57.0,actual
2015-11-11,95.0,actual
2015-11-12,86.0,actual
2015-11-13,102.0,actual
2015-11-14,184.0,actual
2015-11-15,138.0,actual
2015-11-16,106.0,actual
2015-11-17,89.0,actual
2015-11-18,107.0,actual
2015-11-19,78.0,actual
2015-11-20,185.0,actual
2015-11-21,151.0,actual
2015-11-22,97.0,actual
2015-11-23,76.0,actual
2015-11-24,140.0,actual
2015-11-25,137.0,actual
2015-11-26,84.0,actual
2015-11-27,0.0,actual
2015-11-28,7.0,actual
2015-11-29,5.0,actual
2015-11-30,22.0,actual
2015-12-01,36.0,actual
2015-12-02,36.0,actual
2015-12-03,38.0,actual
2015-12-04,95.0,actual
2015-12-05,108.0,actual
2015-12-06,70.0,actual
2015-12-07,78.0,actual
2015-12-08,77.0,actual
2015-12-09,76.0,actual
2015-12-10,59.0,actual
2015-12-11,42.0,actual
2015-12-12,142.0,actual
2015-12-13,116.0,actual
2015-12-14,57.0,actual
2015-12-15,167.0,actual
2015-12-16,154.0,actual
2015-12-17,139.0,actual
2015-12-18,192.0,actual
2015-12-19,295.0,actual
2015-12-20,311.0,actual
2015-12-21,251.0,actual
2015-12-22,377.0,actual
2015-12-23,410.0,actual
2015-12-24,161.0,actual
2015-12-25,0.0,actual
2015-12-26,212.0,actual
2015-12-27,106.0,actual
2015-12-28,100.0,actual
2015-12-29,9.0,actual
2015-12-30,0.0,actual
2015-12-31,0.0,actual
2016-01-01,0.0,actual
2016-01-02,3.0,actual
2016-01-03,0.0,actual
2016-01-04,0.0,actual
2016-01-05,3.0,actual
2016-01-06,3.0,actual
2016-01-07,0.0,actual
2016-01-08,2.0,actual
2016-01-09,0.0,actual
2016-01-10,3.0,actual
2016-01-11,0.0,actual
2016-01-12,103.0,actual
2016-01-13,164.0,actual
2016-01-14,118.0,actual
2016-01-15,65.0,actual
2016-01-16,24.0,actual
2016-01-17,0.0,actual
2016-01-18,1.0,actual
2016-01-19,0.0,actual
2016-01-20,1.0,actual
2016-01-21,60.0,actual
2016-01-22,103.0,actual
2016-01-23,263.0,actual
2016-01-24,189.0,actual
2016-01-25,197.0,actual
2016-01-26,105.0,actual
2016-01-27,129.0,actual
2016-01-28,144.0,actual
2016-01-29,173.0,actual
2016-01-30,293.0,actual
2016-01-31,219.0,actual
2016-02-01,131.0,actual
2016-02-02,184.0,actual
2016-02-03,266.0,actual
2016-02-04,98.0,actual
2016-02-05,67.0,actual
2016-02-06,85.0,actual
2016-02-07,78.0,actual
2016-02-08,71.0,actual
2016-02-09,113.0,actual
2016-02-10,138.0,actual
2016-02-11,98.0,actual
2016-02-12,96.0,actual
2016-02-13,190.0,actual
2016-02-14,105.0,actual
2016-02-15,25.0,actual
2016-02-16,47.0,actual
2016-02-17,63.0,actual
2016-02-18,39.0,actual
2016-02-19,35.0,actual
2016-02-20,77.0,actual
2016-02-21,60.0,actual
2016-02-22,52.0,actual
2016-02-23,51.0,actual
2016-02-24,37.0,actual
2016-02-25,42.0,actual
2016-02-26,89.0,actual
2016-02-27,217.0,actual
2016-02-28,197.0,actual
2016-02-29,81.0,actual
2016-03-01,58.0,actual
2016-03-02,120.0,actual
2016-03-03,64.0,actual
2016-03-04,64.0,actual
2016-03-05,76.0,actual
2016-03-06,86.0,actual
2016-03-07,98.0,actual
2016-03-08,53.0,actual
2016-03-09,38.0,actual
2016-03-10,46.0,actual
2016-03-11,45.0,actual
2016-03-12,67.0,actual
2016-03-13,52.0,actual
2016-03-14,24.0,actual
2016-03-15,51.0,actual
2016-03-16,127.0,actual
2016-03-17,75.0,actual
2016-03-18,62.0,actual
2016-03-19,128.0,actual
2016-03-20,138.0,actual
2016-03-21,74.0,actual
2016-03-22,73.0,actual
2016-03-23,100.0,actual
2016-03-24,71.0,actual
2016-03-25,99.0,actual
2016-03-26,102.0,actual
2016-03-27,57.0,actual
2016-03-28,23.0,actual
2016-03-29,35.0,actual
2016-03-30,59.0,actual
2016-03-31,41.0,actual
2016-04-01,68.0,actual
2016-04-02,84.0,actual
2016-04-03,42.0,actual
2016-04-04,95.0,actual
2016-04-05,85.0,actual
2016-04-06,102.0,actual
2016-04-07,111.0,actual
2016-04-08,113.0,actual
2016-04-09,208.0,actual
2016-04-10,148.0,actual
2016-04-11,123.0,actual
2016-04-12,62.0,actual
2016-04-13,129.0,actual
2016-04-14,102.0,actual
2016-04-15,110.0,actual
2016-04-16,202.0,actual
2016-04-17,144.0,actual
2016-04-18,84.0,actual
2016-04-19,127.0,actual
2016-04-20,181.0,actual
2016-04-21,268.0,actual
2016-04-22,278.0,actual
2016-04-23,234.0,actual
2016-04-24,133.0,actual
2016-04-25,91.0,actual
2016-04-26,83.0,actual
2016-04-27,139.0,actual
2016-04-28,113.0,actual
2016-04-29,141.0,actual
2016-04-30,228.0,actual
2016-05-01,163.0,actual
2016-05-02,0.0,actual
2016-05-03,125.0,actual
2016-05-04,180.0,actual
2016-05-05,222.0,actual
2016-05-06,243.0,actual
2016-05-07,408.0,actual
2016-05-08,181.0,actual
2016-05-09,176.0,actual
2016-05-10,178.0,actual
2016-05-11,310.0,actual
2016-05-12,134.0,actual
2016-05-13,132.0,actual
2016-05-14,1.0,actual
2016-05-15,0.0,actual
2016-05-16,0.0,actual
2016-05-17,0.0,actual
2016-05-18,110.0,actual
2016-05-19,81.0,actual
2016-05-20,112.0,actual
2016-05-21,186.0,actual
2016-05-22,113.0,actual
2016-05-23,86.0,actual
2016-05-24,59.0,actual
2016-05-25,94.0,actual
2016-05-26,167.0,actual
2016-05-27,244.0,actual
2016-05-28,261.0,actual
2016-05-29,187.0,actual
2016-05-30,115.0,actual
2016-05-31,139.0,actual
2016-06-01,273.0,actual
2016-06-02,235.0,actual
2016-06-03,172.0,actual
2016-06-04,323.0,actual
2016-06-05,336.0,actual
2016-06-06,127.0,actual
2016-06-07,137.0,actual
2016-06-08,249.0,actual
2016-06-09,201.0,actual
2016-06-10,271.0,actual
2016-06-11,512.0,actual
2016-06-12,317.0,actual
2016-06-13,224.0,actual
2016-06-14,239.0,actual
2016-06-15,377.0,actual
2016-06-16,239.0,actual
2016-06-17,243.0,actual
2016-06-18,438.0,actual
2016-06-19,334.0,actual
2016-06-20,149.0,actual
2016-06-21,32.0,actual
2016-06-22,39.0,actual
2016-06-23,42.0,actual
2016-06-24,64.0,actual
2016-06-25,170.0,actual
2016-06-26,132.0,actual
2016-06-27,123.0,actual
2016-06-28,78.0,actual
2016-06-29,130.0,actual
2016-06-30,141.0,actual
2016-07-01,247.0,actual
2016-07-02,322.0,actual
2016-07-03,196.0,actual
2016-07-04,172.0,actual
2016-07-05,218.0,actual
2016-07-06,216.0,actual
2016-07-07,179.0,actual
2016-07-08,32.0,actual
2016-07-09,95.0,actual
2016-07-10,78.0,actual
2016-07-11,122.0,actual
2016-07-12,164.0,actual
2016-07-13,288.0,actual
2016-07-14,138.0,actual
2016-07-15,189.0,actual
2016-07-16,321.0,actual
2016-07-17,209.0,actual
2016-07-18,161.0,actual
2016-07-19,157.0,actual
2016-07-20,283.0,actual
2016-07-21,60.0,actual
2016-07-22,98.0,actual
2016-07-23,133.0,actual
2016-07-24,130.0,actual
2016-07-25,62.0,actual
2016-07-26,97.0,actual
2016-07-27,98.0,actual
2016-07-28,108.0,actual
2016-07-29,128.0,actual
2016-07-30,270.0,actual
2016-07-31,183.0,actual
2014-01-01,95.1709814955777,forecast
2014-01-02,72.831691578438,forecast
2014-01-03,76.53767220035694,forecast
2014-01-04,122.48478646485849,forecast
2014-01-05,76.02904427187943,forecast
2014-01-06,49.2090162772122,forecast
2014-01-07,47.755650475607126,forecast
2014-01-08,70.12431642428382,forecast
2014-01-09,51.511559098497365,forecast
2014-01-10,61.36066450845249,forecast
2014-01-11,113.49189015430893,forecast
2014-01-12,71.32601049391494,forecast
2014-01-13,47.437449856554366,forecast
2014-01-14,50.36909188057693,forecast
2014-01-15,81.14003250281843,forecast
2014-01-16,74.56794322791453,forecast
2014-01-18,155.90436842977948,forecast
2014-01-19,114.32498309284918,forecast
2014-01-20,85.80024263293507,forecast
2014-01-21,82.60811452776922,forecast
2014-01-22,108.788127342444,forecast
2014-01-23,99.8146609631567,forecast
2014-01-24,120.49716428992005,forecast
2014-01-25,179.5523511658861,forecast
2014-01-26,139.06142965618187,forecast
2014-01-27,114.29303940185235,forecast
2014-01-28,117.00982405455795,forecast
2014-01-29,148.41564515429627,forecast
2014-01-30,140.39167566792054,forecast
2014-01-31,155.94442306871247,forecast
2014-02-01,205.02535705478664,forecast
2014-02-02,152.81436036978806,forecast
2014-02-03,117.06928195489401,forecast
2014-02-04,109.93108414061618,forecast
2014-02-05,131.5744533030575,forecast
2014-02-06,113.40160923696459,forecast
2014-02-07,119.57658605886813,forecast
2014-02-08,161.9110175310067,forecast
2014-02-09,106.18307494330722,forecast
2014-02-12,77.01660864706733,forecast
2014-02-13,55.87124822138259,forecast
2014-02-14,63.01291175250539,forecast
2014-02-15,111.6895252349745,forecast
2014-02-16,65.57790841093885,forecast
2014-02-17,36.42250846559642,forecast
